"words","avg_points","total_points","quantity"
"yost",92.158,1751,19
"woodward",92.154,1198,13
"rivals",92.154,1198,13
"renaissance",92.154,1198,13
"dramatic",92.15,19628,213
"hobbs",92.143,1290,14
"celebration",92.136,6081,66
"annapolis",92.136,2027,22
"bundled",92.135,3409,37
"selyem",92.133,2764,30
"adjacent",92.125,1474,16
"rochioli",92.118,1566,17
"trodden",92.111,829,9
"perched",92.111,829,9
"brunate",92.111,829,9
"bergström",92.111,829,9
"shafer",92.105,1750,19
"sonorous",92.1,3684,40
"memorably",92.1,1842,20
"serene",92.1,921,10
"russell",92.1,921,10
"now–2028",92.1,921,10
"breathlessly",92.1,921,10
"ross",92.095,1934,21
"playfulness",92.091,1013,11
"bradley",92.091,1013,11
"quit",92.086,3223,35
"symington",92.083,1105,12
"protect",92.083,1105,12
"immaturity",92.083,1105,12
"addictively",92.083,1105,12
"wow",92.081,3407,37
"montrose",92.077,1197,13
"jim",92.056,3314,36
"durell",92.056,1657,18
"panoply",92.053,1749,19
"oxide",92.053,1749,19
"precious",92.05,1841,20
"pinhão",92.05,1841,20
"unites",92.043,2117,23
"tuck",92.038,2393,26
"extraordinarily",92.028,9755,106
"exceptional",92.023,24386,265
"cacao",92.021,4325,47
"crus",92.007,12605,137
"91-93",92.0,7176,78
"acre",92.0,3772,41
"chris",92.0,3312,36
"addictive",92.0,1840,20
"madeira",92.0,1656,18
"vastly",92.0,1564,17
"jorge",92.0,1564,17
"montmorency",92.0,1380,15
"zaca",92.0,1288,14
"kalon",92.0,1288,14
"oh",92.0,1196,13
"wreathed",92.0,1104,12
"raring",92.0,1104,12
"heidi",92.0,1104,12
"aristocratic",92.0,1104,12
"entwined",92.0,1012,11
"constantly",92.0,1012,11
"steven",92.0,920,10
"mcminnville",92.0,920,10
"gosset",92.0,920,10
"detonates",92.0,920,10
"larner",92.0,828,9
"klapper",92.0,828,9
"elizabeth",92.0,828,9
"duval",92.0,828,9
"co-founder",92.0,828,9
"noble",91.989,8463,92
"grand",91.966,38166,415
"tour",91.96,2299,25
"resonance",91.95,1839,20
"scintillating",91.947,1747,19
"elaborately",91.947,1747,19
"immaculate",91.945,5057,55
"fermenters",91.944,1655,18
"2010s",91.941,1563,17
"corralitos",91.938,1471,16
"amphorae",91.933,1379,15
"cellarworthy",91.929,1287,14
"regal",91.923,1195,13
"laguna",91.923,1195,13
"pepper-crusted",91.917,1103,12
"guiding",91.917,1103,12
"barrett",91.917,1103,12
"seductively",91.914,5331,58
"magic",91.913,4228,46
"utterly",91.909,17095,186
"bucher",91.909,1011,11
"beguiling",91.907,9834,107
"laser",91.903,2849,31
"streams",91.9,919,10
"intoxicatingly",91.9,919,10
"ensuring",91.9,919,10
"bryan",91.895,1746,19
"world-class",91.889,1654,18
"jason",91.889,827,9
"friend",91.889,827,9
"best-barrel",91.889,827,9
"irresistible",91.887,13048,142
"gorgeously",91.885,15161,165
"margerum",91.885,2389,26
"hedonism",91.882,3124,34
"cardamon",91.882,1562,17
"arresting",91.88,2297,25
"leflaive",91.875,2205,24
"watercress",91.872,3583,39
"stood",91.867,1378,15
"earliest",91.867,1378,15
"flagship",91.862,10013,109
"profoundly",91.862,2664,29
"outstanding",91.859,20852,227
"sinor",91.857,1286,14
"fine-tuned",91.853,3123,34
"van",91.85,1837,20
"matthias",91.846,1194,13
"longest",91.846,1194,13
"iii",91.846,1194,13
"denomination",91.842,1745,19
"shimmering",91.841,4041,44
"shea",91.84,2296,25
"pippig",91.833,1102,12
"dynamite",91.833,1102,12
"culminates",91.833,1102,12
"joy",91.826,13682,149
"mace",91.826,6336,69
"wine—the",91.818,1010,11
"unleash",91.818,1010,11
"romaneira",91.818,1010,11
"martell",91.818,1010,11
"lanson",91.812,1469,16
"fine-boned",91.812,1469,16
"extremes",91.81,1928,21
"stellar",91.808,9089,99
"doug",91.8,2754,30
"weeks",91.8,918,10
"strasser",91.8,918,10
"spice:",91.8,918,10
"silicon",91.8,918,10
"navarro",91.8,918,10
"absolutely",91.795,21021,229
"negotiate",91.792,2203,24
"von",91.789,1744,19
"understanding",91.786,1285,14
"colheita",91.786,1285,14
"abbey",91.786,1285,14
"expert",91.781,2937,32
"mastery",91.778,1652,18
"80-year-old",91.778,1652,18
"x",91.778,826,9
"westernmost",91.778,826,9
"upholds",91.778,826,9
"unlimited",91.778,826,9
"radiates",91.778,826,9
"morey",91.778,826,9
"gravels",91.778,826,9
"descriptors",91.778,826,9
"haul",91.774,4864,53
"quail",91.773,2019,22
"beautiful",91.77,143529,1564
"occidental",91.769,1193,13
"linearity",91.765,3120,34
"glint",91.765,1560,17
"comice",91.765,1560,17
"grounding",91.76,4588,50
"riot",91.756,3762,41
"well-hewn",91.75,1101,12
