"words","avg_points","total_points","quantity"
"each",90.07,50259,558
"hours",90.07,20446,227
"nectar",90.07,11619,129
"newest",90.069,2612,29
"wrapping",90.068,5314,59
"austrian",90.068,5314,59
"indications",90.067,2702,30
"hail",90.067,2702,30
"à",90.067,1351,15
"risk",90.067,1351,15
"pocket",90.067,1351,15
"martini",90.067,1351,15
"cracked",90.066,27290,303
"sanguine",90.066,16302,181
"aging",90.065,469240,5210
"representation",90.065,4143,46
"ensures",90.064,4233,47
"treat",90.062,7295,81
"soaked",90.062,4323,48
"building",90.062,4323,48
"according",90.062,2882,32
"velvety-smooth",90.062,1441,16
"chapin",90.062,1441,16
"aix-en-provence",90.062,1441,16
"high-elevation",90.061,5944,66
"atop",90.06,28369,315
"powers",90.06,4503,50
"delightfully",90.059,13689,152
"interwoven",90.059,4593,51
"sneaks",90.059,1531,17
"marionberry",90.059,1531,17
"creme",90.059,1531,17
"appreciated",90.059,1531,17
"density",90.058,99424,1104
"chalk",90.057,36473,405
"ranging",90.056,9726,108
"sneak",90.056,1621,18
"recede",90.056,1621,18
"profusion",90.056,1621,18
"approaching",90.055,6574,73
"metal",90.055,4953,55
"modern",90.054,61687,685
"epitome",90.054,3332,37
"rose",90.053,226122,2511
"feet",90.053,20442,227
"changed",90.053,3422,38
"penfolds",90.053,1711,19
"apt",90.053,1711,19
"champagne",90.051,49798,553
"yeasts",90.051,5313,59
"previously",90.051,3512,39
"fennel",90.05,54120,601
"pippin",90.05,3602,40
"saint-georges",90.05,1801,20
"represent",90.05,1801,20
"juvenile",90.05,1801,20
"heightens",90.05,1801,20
"best",90.049,328588,3649
"honed",90.049,3692,41
"ease",90.048,13237,147
"upscale",90.048,7474,83
"embodies",90.048,1891,21
"adelaide",90.048,1891,21
"experience",90.046,39530,439
"te",90.045,1981,22
"macaroon",90.045,1981,22
"history",90.043,6213,69
"complementing",90.043,4232,47
"cooler-climate",90.043,2071,23
"allied",90.042,10715,119
"mineral-infused",90.042,2161,24
"9%",90.041,19809,220
"concentration",90.039,268406,2981
"brioche",90.039,25661,285
"abounds",90.038,4772,53
"red-violet",90.038,2341,26
"belie",90.038,2341,26
"time",90.037,389141,4322
"brim",90.037,2431,27
"shavings",90.036,24670,274
"thomas",90.036,2521,28
"specifically",90.036,2521,28
"amber-colored",90.036,2521,28
"strike",90.035,7653,85
"wrap",90.034,13055,145
"get-go",90.033,2701,30
"english",90.033,2701,30
"hinted",90.032,2791,31
"spark",90.031,2881,32
"pierced",90.031,2881,32
"olallieberries",90.031,2881,32
"eric",90.031,2881,32
"boldness",90.031,2881,32
"rippling",90.03,2971,33
"founded",90.029,6122,68
"worked",90.029,3151,35
"exuding",90.029,3151,35
"counterbalance",90.029,3061,34
"above",90.028,42403,471
"gunmetal",90.028,3241,36
"streamlined",90.027,33220,369
"flows",90.027,3331,37
"culminating",90.027,3331,37
"anchored",90.026,10443,116
"anytime",90.026,3511,39
"develops",90.023,23226,258
"chateau",90.023,7922,88
"assortment",90.022,4141,46
"66%",90.022,4051,45
"third",90.021,12693,141
"spiked",90.02,4501,50
"move",90.02,4501,50
"contribute",90.019,14313,159
"many",90.017,136466,1516
"gran",90.017,5221,58
"improve",90.016,54730,608
"plays",90.016,33576,373
"classic",90.015,163287,1814
"provide",90.015,156536,1739
"waiting",90.014,13322,148
"36%",90.014,6391,71
"bing",90.013,13862,154
"bottling",90.01,326737,3630
"must",90.01,9001,100
"situated",90.01,8821,98
"salt",90.009,47975,533
"mushrooms",90.009,31683,352
"crunchy",90.009,29163,324
"harmony",90.008,21602,240
"minerals",90.005,53913,599
"marzipan",90.004,24301,270
"sandalwood",90.003,86403,960
"swirl",90.0,20700,230
"dance",90.0,14760,164
"muscle",90.0,13590,151
"slopes",90.0,13320,148
"dotted",90.0,7380,82
"62%",90.0,5850,65
"89-91",90.0,5760,64
"king",90.0,4950,55
"sourcing",90.0,3960,44
"gate",90.0,3870,43
"velvet-textured",90.0,3690,41
"pile",90.0,3690,41
"zinfandels",90.0,3510,39
"happens",90.0,3510,39
"suppleness",90.0,3420,38
"merge",90.0,3420,38
"limited-production",90.0,3420,38
"integrates",90.0,3330,37
"baker",90.0,3330,37
"grosso",90.0,3150,35
"purchased",90.0,3060,34
"scratched",90.0,2610,29
"manageable",90.0,2610,29
"focusing",90.0,2610,29
"chock-full",90.0,2610,29
"rein",90.0,2520,28
"full-blown",90.0,2340,26
"performs",90.0,2250,25
"retained",90.0,2160,24
"flatters",90.0,2160,24
"yalumba",90.0,2070,23
"handles",90.0,2070,23
"dark-hued",90.0,2070,23
"gray",90.0,1980,22
"biscuity",90.0,1980,22
"yuzu",90.0,1890,21
"zibibbo",90.0,1800,20
"violet-red",90.0,1800,20
"reserve-tier",90.0,1800,20
"tightly-wound",90.0,1710,19
"scads",90.0,1710,19
"pasilla",90.0,1710,19
"lilies",90.0,1710,19
"impressed",90.0,1710,19
"bin",90.0,1710,19
"daffodil",90.0,1620,18
"tom",90.0,1530,17
"longstanding",90.0,1530,17
"extravagantly",90.0,1530,17
"smoked-meat",90.0,1440,16
"mile",90.0,1440,16
"arrive",90.0,1440,16
"zierfandler",90.0,1350,15
"well-modulated",90.0,1350,15
"victoria",90.0,1350,15
"stages",90.0,1350,15
"rockpile",90.0,1350,15
"principles",90.0,1350,15
"dairy",90.0,1350,15
"became",90.0,1350,15
"13th",90.0,1350,15
"terraces",90.0,1260,14
"swing",90.0,1260,14
"ripping",90.0,1260,14
"propelling",90.0,1260,14
"paolo",90.0,1260,14
"century-old",90.0,1260,14
"abruzzo",90.0,1260,14
"vineyard-designates",90.0,1170,13
"rex",90.0,1170,13
"redwood",90.0,1170,13
"outpost",90.0,1170,13
"mont",90.0,1170,13
"kahlua",90.0,1170,13
"henri",90.0,1170,13
"fortress",90.0,1170,13
"dandelion",90.0,1170,13
"companionship",90.0,1170,13
"sheds",90.0,1080,12
"neil",90.0,1080,12
"monks",90.0,1080,12
"loganberry",90.0,1080,12
"divided",90.0,1080,12
"crave",90.0,1080,12
"baron",90.0,1080,12
"vigneto",90.0,990,11
"sniffs",90.0,990,11
"romans",90.0,990,11
"references",90.0,990,11
"pricing",90.0,990,11
"phelps",90.0,990,11
"launched",90.0,990,11
"hock",90.0,990,11
"chestnuts",90.0,990,11
"brewed",90.0,990,11
"apricot-flavored",90.0,990,11
"taming",90.0,900,10
"stephen",90.0,900,10
"roth",90.0,900,10
"reveling",90.0,900,10
"reininger",90.0,900,10
"pique",90.0,900,10
"nysa",90.0,900,10
"curtain",90.0,900,10
"barn",90.0,900,10
"well-grown",90.0,810,9
"warehouse",90.0,810,9
"vigouroux",90.0,810,9
"hughes",90.0,810,9
"historically",90.0,810,9
"grapefruit-pith",90.0,810,9
"ferrari",90.0,810,9
"dancingly",90.0,810,9
"animating",90.0,810,9
"stony",89.998,54089,601
"unctuous",89.996,25289,281
"framed",89.995,110154,1224
"bottled",89.994,15749,175
"reserva",89.992,10889,121
"two-thirds",89.992,10799,120
"until",89.99,147674,1641
"crystalline",89.99,8729,97
"shaped",89.989,8099,90
"intriguing",89.988,83149,924
"appetizing",89.988,50483,561
"array",89.988,29246,325
"reaches",89.988,7379,82
"pulls",89.987,13678,152
"gravenstein",89.987,7199,80
"become",89.986,32755,364
"heaven",89.986,6659,74
"bridge",89.986,6209,69
"refinement",89.985,6029,67
"requires",89.98,4499,50
"boosts",89.98,4499,50
"needing",89.979,21145,235
"cluster",89.979,4229,47
"violet",89.978,179506,1995
"mouth-coating",89.978,8368,93
"three",89.977,71532,795
"certainly",89.976,81698,908
"highlighted",89.976,18715,208
"breathing",89.976,15026,167
"younger",89.976,3779,42
"doles",89.975,90515,1006
"petal",89.975,55065,612
"bursting",89.974,38149,424
"well-structured",89.974,13676,152
"established",89.973,3329,37
"toro",89.972,9537,106
"appellation",89.971,113543,1262
"broadened",89.968,2789,31
"revealing",89.966,20962,233
"du",89.966,18623,207
"estate-grown",89.965,33467,372
"unfold",89.964,37425,416
"la",89.964,32927,366
"mouth-watering",89.964,5038,56
"partnership",89.963,4858,54
"reinforces",89.963,2429,27
"lavished",89.963,2429,27
"uplifting",89.962,4678,52
"well-composed",89.962,2339,26
"recent",89.961,13944,155
"feral",89.961,13674,152
"impressions",89.96,4498,50
"fame",89.96,2249,25
"single-clone",89.958,2159,24
"broad-shouldered",89.958,2159,24
"black-olive",89.958,2159,24
"somehow",89.957,10525,117
"succeeded",89.957,2069,23
"bud",89.957,2069,23
"jump",89.955,10075,112
"pomelo",89.955,3958,44
"exploring",89.955,1979,22
"record",89.953,9535,106
"story",89.953,3868,43
"cigar",89.952,45156,502
"lobster",89.952,7556,84
"shred",89.952,1889,21
"pâté",89.952,1889,21
"lindquist",89.952,1889,21
"broadening",89.952,1889,21
"pine",89.95,62695,697
"generously",89.95,21768,242
"melds",89.95,5397,60
"gigondas",89.95,1799,20
"enchanting",89.95,1799,20
"manages",89.948,20598,229
"electric",89.948,10434,116
"cassis",89.947,405301,4506
"rides",89.947,6836,76
"complements",89.947,6746,75
"bubblies",89.947,1709,19
"new",89.946,402059,4470
"strapping",89.946,3328,37
"subtly",89.944,14391,160
"limpid",89.944,1619,18
"erupts",89.944,1619,18
"comparable",89.944,1619,18
"brut-style",89.944,1619,18
"patience",89.942,10793,120
"occasion",89.942,4677,52
"chamomile",89.941,24374,271
"vineyard-designated",89.941,9084,101
"puree",89.941,1529,17
"croatina",89.941,1529,17
"decanting",89.94,26982,300
"team",89.939,14660,163
"uses",89.939,5936,66
"producer",89.938,121776,1354
"2%",89.938,23024,256
"picking",89.938,8724,97
"lifting",89.938,8634,96
"michel",89.938,4317,48
"warmest",89.938,1439,16
"satisfaction",89.938,1439,16
"muscularity",89.938,1439,16
"lemon-curd",89.938,1439,16
"boned",89.938,1439,16
"bernard",89.938,1439,16
"teriyaki",89.937,12861,143
"sea",89.936,47846,532
"streaks",89.935,45867,510
"sheer",89.935,33276,370
"viticulture",89.933,2698,30
"entertain",89.933,2698,30
"anchor",89.933,2698,30
"introducing",89.933,1349,15
"amphora",89.933,1349,15
"flirts",89.931,2608,29
"bristles",89.931,2608,29
"soy",89.93,33364,371
"owns",89.93,5126,57
"supports",89.929,15288,170
"chiseled",89.929,8813,98
"highlighting",89.929,7554,84
"southwestern",89.929,1259,14
"remained",89.929,1259,14
"practice",89.929,1259,14
"low-yield",89.929,1259,14
"inevitably",89.929,1259,14
"fistfuls",89.929,1259,14
"counterbalanced",89.929,1259,14
"anthony",89.929,1259,14
"adelaida",89.929,1259,14
"16th",89.929,1259,14
"vintage",89.928,377787,4201
"baking",89.927,217984,2424
"allspice",89.927,30845,343
"words",89.927,4946,55
"brighter",89.926,8543,95
"verbena",89.926,8453,94
"underscoring",89.926,2428,27
"18%",89.925,16816,187
"track",89.925,10791,120
"styles",89.925,4766,53
"64%",89.925,4766,53
"finale",89.925,3597,40
"series",89.924,21402,238
"eucalyptus",89.923,61597,685
"bordeaux-like",89.923,2338,26
"practices",89.923,1169,13
"piano",89.923,1169,13
"onion-skin",89.923,1169,13
"morrison",89.923,1169,13
"farms",89.923,1169,13
"vein",89.922,33631,374
"surrounded",89.922,20682,230
"knoll",89.922,5755,64
"verve",89.921,29584,329
"express",89.921,6834,76
"riserva",89.92,29134,324
"bomb",89.92,10071,112
"spells",89.92,2248,25
"increase",89.92,2248,25
"fourth",89.92,2248,25
"bourgeois",89.92,2248,25
"developing",89.918,58177,647
"76%",89.917,3237,36
"flattering",89.917,2158,24
"sézanne",89.917,1079,12
"spill",89.917,1079,12
"sniffing",89.917,1079,12
"raymond",89.917,1079,12
"own-rooted",89.917,1079,12
"merging",89.917,1079,12
"inner",89.917,1079,12
"frog",89.917,1079,12
"competes",89.917,1079,12
"cask",89.917,1079,12
"138%",89.917,1079,12
"five-grape",89.915,4226,47
"levels",89.913,11419,127
"crystal",89.912,3057,34
"easily",89.911,60330,671
"wins",89.911,4046,45
"winery",89.91,190429,2118
"sense",89.91,158601,1764
"seeking",89.91,6024,67
"grounds",89.909,18701,208
"avoids",89.909,4945,55
"autumnal",89.909,2967,33
"wafting",89.909,1978,22
"pumps",89.909,1978,22
"worldwide",89.909,989,11
"vegan",89.909,989,11
"link",89.909,989,11
"kenneth",89.909,989,11
"epernay",89.909,989,11
"designer",89.909,989,11
"crew",89.909,989,11
"burgenland",89.909,989,11
"adventure",89.909,989,11
"moss",89.908,7822,87
"lick",89.907,21218,236
"plushness",89.907,4855,54
"lingering",89.906,196895,2190
"nutmeg",89.906,100155,1114
"revealed",89.906,2877,32
"craft",89.906,2877,32
"west",89.905,9440,105
"roll",89.904,9350,104
"lava",89.903,5574,62
"progress",89.903,2787,31
"another",89.902,117592,1308
"quarter",89.902,4585,51
"enriched",89.901,10878,121
"reigns",89.9,1798,20
"delving",89.9,1798,20
"war",89.9,899,10
"vallado",89.9,899,10
"tandem",89.9,899,10
"superripeness",89.9,899,10
"rhônes",89.9,899,10
"nicole",89.9,899,10
"knocks",89.9,899,10
"fields",89.9,899,10
"bovale",89.9,899,10
"acid-rich",89.9,899,10
"date",89.898,15912,177
"pioneer",89.897,7012,78
"assorted",89.897,3506,39
"yellow-cherry",89.897,2607,29
"rosehip",89.897,2607,29
"canadian",89.897,2607,29
"reviewed",89.895,1708,19
"personal",89.895,1708,19
"mcintosh",89.895,1708,19
"generous",89.894,306089,3405
"interestingly",89.894,4225,47
"major",89.893,11776,131
"galore",89.893,2517,28
"grows",89.892,9169,102
"vin",89.892,5843,65
"fresh-baked",89.892,3326,37
"properties",89.891,5753,64
"soil",89.89,106609,1186
"imagine",89.89,6562,73
"satisfyingly",89.889,6472,72
"macadamia",89.889,4045,45
"heavyweight",89.889,4045,45
"49%",89.889,4045,45
"wädenswil",89.889,1618,18
"wholesome",89.889,1618,18
"bierzo",89.889,1618,18
"toasts",89.889,809,9
"terraced",89.889,809,9
"tasca",89.889,809,9
"nerthe",89.889,809,9
"eschews",89.889,809,9
"eponymous",89.889,809,9
"climes",89.889,809,9
"cima",89.889,809,9
"barrel-aging",89.889,809,9
"argue",89.889,809,9
"masses",89.887,4764,53
"tanned",89.886,3146,35
"pencil-lead",89.886,3146,35
"austria",89.886,3146,35
"window",89.885,8629,96
"recently",89.885,7820,87
"fullness",89.883,10786,120
"douro",89.882,38200,425
"judiciously",89.882,3056,34
"intertwine",89.882,3056,34
"forces",89.882,1528,17
"well-known",89.881,5303,59
"translucent",89.881,5303,59
"individual",89.88,4494,50
"lightens",89.88,2247,25
"bottlings",89.879,23728,264
"perfectly",89.877,61206,681
"charcuterie",89.877,5842,65
"per",89.875,4314,48
"enhances",89.875,2876,32
"mother",89.875,2157,24
"manager",89.875,2157,24
"fleshing",89.875,2157,24
"wise",89.875,1438,16
"underlie",89.875,1438,16
"suffused",89.875,1438,16
"interior",89.875,1438,16
"full-bore",89.875,1438,16
"billing",89.875,1438,16
"pomegranate",89.874,106501,1185
"always",89.874,67046,746
"canyon",89.874,10695,119
"sunbaked",89.874,7819,87
"meet",89.872,58147,647
"tempered",89.872,14020,156
"able",89.872,7010,78
"plush",89.871,116473,1296
"savoriness",89.871,10425,116
"neighboring",89.871,2786,31
"morgan",89.871,2786,31
"luis",89.871,2786,31
"basis",89.871,2786,31
"formed",89.87,2067,23
"licorice",89.868,537231,5978
"blending",89.868,28488,317
"plantings",89.868,6111,68
"vintners",89.868,4763,53
"sauvage",89.868,3415,38
"firmness",89.867,14828,165
"carpaccio",89.867,2696,30
"buoyancy",89.867,2696,30
"smile",89.867,1348,15
"numbers",89.867,1348,15
"modulated",89.867,1348,15
"meshed",89.867,1348,15
"dark",89.865,1017900,11327
"tiny",89.865,35317,393
"underscore",89.865,4673,52
"tightens",89.865,4673,52
"finding",89.864,9885,110
"full-throttle",89.864,5931,66
"super-clean",89.864,1977,22
"piled",89.864,1977,22
"dangerously",89.864,1977,22
"period",89.862,2606,29
"yes",89.861,16175,180
"integrating",89.861,6470,72
"don",89.861,3235,36
"bulb",89.861,3235,36
"pouilly",89.86,3864,43
"purple",89.859,110796,1233
"western",89.858,10783,120
"rust",89.857,5661,63
"german",89.857,4403,49
"unctuousness",89.857,1258,14
"strides",89.857,1258,14
"reign",89.857,1258,14
"posh",89.857,1258,14
"nuits-st-georges",89.857,1258,14
"full-flavored",89.856,11861,132
"everything",89.855,55620,619
"pillowy",89.855,6200,69
"already",89.854,178630,1988
"floods",89.854,8626,96
"floor",89.853,88954,990
"8%",89.853,25069,279
"willamette",89.853,11591,129
"blackcurrant",89.853,11591,129
"underbelly",89.852,4852,54
"sauvignon-led",89.852,2426,27
"now–2010",89.852,2426,27
"fitting",89.85,3594,40
"unfettered",89.85,1797,20
"royal",89.85,1797,20
"black-fruited",89.85,1797,20
"coolness",89.847,5301,59
"wraps",89.846,19856,221
"specialist",89.846,5840,65
"ink",89.846,2336,26
"wine—it",89.846,1168,13
"underrated",89.846,1168,13
"seconds",89.846,1168,13
"ripens",89.846,1168,13
"propels",89.846,1168,13
"contemplation",89.846,1168,13
"delicacy",89.845,17969,200
"pulled",89.844,6918,77
"boysenberries",89.844,6918,77
"viogniers",89.844,2875,32
"rush",89.844,2875,32
"key-lime",89.844,2875,32
"deliciously",89.841,68189,759
"producing",89.841,16980,189
"sipped",89.84,21292,237
"noted",89.84,2246,25
"worth",89.838,46626,519
"coat",89.838,17788,198
"state",89.837,23178,258
"acres",89.837,12128,135
"oak-inspired",89.837,3863,43
"anise",89.836,234921,2615
"selection",89.836,70072,780
"meld",89.836,36653,408
"kirsch",89.836,16979,189
"frame",89.835,70610,786
"full-fruited",89.835,7097,79
"intensity",89.834,176523,1965
"forest",89.834,136099,1515
"inky",89.833,44198,492
"ignore",89.833,3234,36
"ultimate",89.833,2695,30
"tartare",89.833,2695,30
"rocca",89.833,2156,24
"honey-kissed",89.833,2156,24
"pecans",89.833,1078,12
"merges",89.833,1078,12
"lofty",89.833,1078,12
"lace",89.833,1078,12
"eye-opening",89.833,1078,12
"dropping",89.833,1078,12
"connoisseurs",89.833,1078,12
"clove-spiked",89.833,1078,12
"clever",89.833,1078,12
"winner",89.832,9073,101
"reserve",89.831,48329,538
"sourdough",89.831,7456,83
"view",89.831,6378,71
"enhanced",89.83,33327,371
"27%",89.83,8983,100
"havent",89.83,4222,47
"de",89.829,87493,974
"shine",89.829,37728,420
"surrounding",89.829,6288,70
"three-quarters",89.829,3683,41
"matures",89.828,8354,93
"firm",89.826,824239,9176
"firms",89.826,2066,23
"bandol",89.826,2066,23
"tightness",89.825,7186,80
"chopped",89.824,76261,849
"river",89.824,50481,562
"venison",89.824,1527,17
"newton",89.824,1527,17
"mangos",89.824,1527,17
"frond",89.824,1527,17
"franciacorta",89.824,1527,17
"chew",89.824,1527,17
"alive",89.823,14731,164
"integrate",89.822,28743,320
"alone",89.821,7006,78
"tavel",89.821,2515,28
"pierre",89.821,2515,28
"francisco",89.821,2515,28
"sediment",89.82,5479,61
"breeze",89.818,5928,66
"sparked",89.818,988,11
"grains",89.818,988,11
"four-square",89.818,988,11
"cement-like",89.818,988,11
"16th-century",89.818,988,11
"persistency",89.817,9341,104
"browned",89.817,5389,60
"named",89.816,53351,594
"smoothness",89.816,16616,185
"exterior",89.816,3413,38
"creek",89.814,34848,388
"focus",89.813,59007,657
"near",89.813,37542,418
"special",89.813,25956,289
"signals",89.813,17783,198
"kicks",89.812,13831,154
"potentially",89.812,7185,80
"whirl",89.812,1437,16
"tarter",89.812,1437,16
"rhône-inspired",89.812,1437,16
"judging",89.812,1437,16
"granitic",89.812,1437,16
"old",89.811,125107,1393
"dates",89.811,8532,95
"salinas",89.811,3323,37
"boysenberry",89.81,103820,1156
"flashes",89.81,5658,63
"au",89.81,5658,63
"embedded",89.81,3772,42
"lays",89.81,1886,21
"ageworthiness",89.81,1886,21
"charcoal",89.809,13651,152
"still",89.806,521323,5805
"sip",89.806,140546,1565
"guess",89.806,2784,31
"88%",89.806,2784,31
"aromatics",89.804,48225,537
"resolved",89.804,4131,46
"monte",89.804,4131,46
"4%",89.801,24785,276
"former",89.8,8082,90
"forest-floor",89.8,4939,55
"high-altitude",89.8,3143,35
"knights",89.8,2694,30
"invitingly",89.8,2694,30
"rain",89.8,2245,25
"tenacious",89.8,1796,20
"gamut",89.8,1796,20
"toasted-oak",89.8,1347,15
"px",89.8,1347,15
"march",89.8,1347,15
"zestier",89.8,898,10
"thoughts",89.8,898,10
"stretching",89.8,898,10
"shakes",89.8,898,10
"returning",89.8,898,10
"paves",89.8,898,10
"mineral-rich",89.8,898,10
"legacy",89.8,898,10
"late-harvested",89.8,898,10
"juxtaposing",89.8,898,10
"germanic",89.8,898,10
"fruit-forwardness",89.8,898,10
"dependably",89.8,898,10
"denseness",89.8,898,10
"curds",89.8,898,10
"convince",89.8,898,10
"brew",89.8,898,10
"aÿ",89.8,898,10
"ambrosia",89.8,898,10
"carneros",89.797,15445,172
"popping",89.797,5747,64
"met",89.797,5747,64
"23%",89.796,9698,108
"flashy",89.795,29363,327
"lifts",89.795,23706,264
"east",89.795,10506,117
"mountain-grown",89.795,3502,39
"broadens",89.795,3502,39
"structure",89.794,682345,7599
"expensive",89.794,22628,252
"currently",89.794,15265,170
"sancerre",89.793,10416,116
"fine",89.792,529054,5892
"their",89.792,94641,1054
"bolstered",89.791,18946,211
"dão",89.791,12032,134
"stars",89.791,9877,110
"stream",89.79,5567,62
"growers",89.789,5118,57
"whistles",89.789,1706,19
"meander",89.789,1706,19
"carpet",89.789,1706,19
"ginger",89.788,72459,807
"merely",89.788,2963,33
"richness",89.787,407814,4542
"renowned",89.786,2514,28
"morning",89.786,2514,28
"kumeu",89.786,1257,14
"handling",89.786,1257,14
"eager",89.786,1257,14
"consumes",89.786,1257,14
"celebratory",89.786,1257,14
"achieving",89.786,1257,14
"24%",89.785,10864,121
"road",89.784,21997,245
"well-proportioned",89.783,2065,23
"spots",89.783,2065,23
"purpose",89.783,2065,23
"goldschmidt",89.783,2065,23
"enhancing",89.783,2065,23
"satisfying",89.781,59435,662
"sprightly",89.781,23343,260
"briskness",89.781,2873,32
"34%",89.78,9786,109
"quantities",89.78,8978,100
"themselves",89.779,13377,149
"reach",89.779,8529,95
"black-plum",89.778,29537,329
"provenance",89.778,2424,27
"air-dried",89.778,2424,27
"shading",89.778,1616,18
"feat",89.778,1616,18
"unapologetically",89.778,808,9
"raisining",89.778,808,9
"rabbit",89.778,808,9
"predecessors",89.778,808,9
"honeycrisp",89.778,808,9
"free-flowing",89.778,808,9
"edward",89.778,808,9
"divide",89.778,808,9
"concise",89.778,808,9
"alpha",89.778,808,9
"glass",89.776,284052,3164
"cellars",89.776,7631,85
"since",89.775,25496,284
"lies",89.775,11581,129
"inviting",89.774,86452,963
"underpinning",89.774,8349,93
"well-rounded",89.774,5566,62
"japanese",89.773,1975,22
"improved",89.773,1975,22
"coalesce",89.773,1975,22
"yeast",89.772,57005,635
"ownership",89.772,5117,57
"play",89.771,64545,719
"comforting",89.771,3142,35
"achieves",89.77,5476,61
"knit",89.769,21365,238
"meets",89.769,20557,229
"walls",89.769,1167,13
"tickles",89.769,1167,13
"shoot",89.769,1167,13
"etched",89.768,10054,112
"pudding",89.765,4578,51
"lily",89.765,3052,34
"franco",89.765,1526,17
"continued",89.765,1526,17
"vivid",89.764,52422,584
"approachability",89.764,6463,72
"provençal",89.764,4937,55
"brims",89.763,12477,139
"favorite",89.762,9425,105
"seaweed",89.762,1885,21
"hilltop",89.762,1885,21
"lacy",89.761,6014,67
"retain",89.76,4488,50
"piercingly",89.76,2244,25
"fronds",89.76,2244,25
"château",89.759,38058,424
"pollen",89.759,17862,199
"buoyed",89.759,15259,170
"throat",89.759,2603,29
"edged",89.757,16964,189
"peppercorn",89.756,42993,479
"dineen",89.756,3680,41
"against",89.754,94421,1052
"developed",89.754,14989,167
"39%",89.754,5834,65
"accentuated",89.754,5475,61
"produced",89.753,138219,1540
"increasingly",89.75,6462,72
"context",89.75,6103,68
"return",89.75,3949,44
"sum",89.75,2872,32
"morgon",89.75,2513,28
"laurel",89.75,2513,28
"botrytised",89.75,1795,20
"bitters",89.75,1795,20
"unmistakably",89.75,1436,16
"territory-driven",89.75,1436,16
"standard-label",89.75,1436,16
"spend",89.75,1436,16
"fox",89.75,1436,16
"continuous",89.75,1436,16
"appealingly",89.75,1436,16
"vanilla-laden",89.75,1077,12
"statewide",89.75,1077,12
"maritime",89.75,1077,12
"latte",89.75,1077,12
"improvements",89.75,1077,12
"exists",89.75,1077,12
"caressing",89.75,1077,12
"valley",89.747,189635,2113
"pops",89.747,7090,79
"equal",89.745,49539,552
"63%",89.745,4218,47
"mineral-driven",89.743,16782,187
"cinnamon",89.742,311853,3475
"brothers",89.741,5205,58
"needles",89.74,6910,77
"buoy",89.739,2064,23
"lady",89.738,3769,42
"silver",89.737,1705,19
"marie",89.737,1705,19
"floats",89.737,1705,19
"cabs",89.736,14268,159
"intensely",89.735,95119,1060
"darker",89.735,29074,324
"layering",89.734,23241,259
"reduction",89.734,19203,214
"21%",89.734,11127,124
"roundly",89.733,2692,30
"song",89.733,1346,15
"savage",89.733,1346,15
"flavorsome",89.733,1346,15
"dubourdieu",89.733,1346,15
"dips",89.733,1346,15
"argument",89.733,1346,15
"town",89.732,7358,82
"exuberant",89.731,35354,394
"marmalade",89.731,31675,353
"3%",89.731,24317,271
"medium-term",89.731,12024,134
"beneath",89.731,11665,130
"well-regarded",89.731,2333,26
"treads",89.731,2333,26
"intact",89.73,3320,37
"acid-tannin",89.73,3320,37
"nuance",89.729,36789,410
"rieslings",89.729,10588,118
"marries",89.728,8255,92
"well-defined",89.727,10857,121
"imprint",89.727,5922,66
"tinges",89.727,1974,22
"gras",89.727,1974,22
"pounds",89.727,987,11
"likability",89.727,987,11
"felluga",89.727,987,11
"be:",89.727,987,11
"put",89.726,27815,310
"strikingly",89.725,3589,40
"mulled",89.725,3589,40
"fumé",89.725,3589,40
"felt",89.725,3589,40
"thrust",89.724,2602,29
"blue",89.723,151452,1688
"display",89.723,20098,224
"exhibiting",89.723,5832,65
"thread",89.722,8075,90
"marrying",89.722,4845,54
"kiona",89.722,3230,36
"vies",89.722,1615,18
"forgotten",89.722,1615,18
"status",89.721,3858,43
"supple",89.72,177826,1982
"leaps",89.72,2243,25
"family",89.719,95910,1069
"masculine",89.719,14355,160
"tight-grained",89.719,2871,32
"nori",89.719,2871,32
"proving",89.718,21353,238
"measure",89.718,11753,131
"doubt",89.718,6370,71
"lightness",89.717,31401,350
"roses",89.717,16777,187
"well-built",89.717,4127,46
"spices",89.716,268970,2998
"intrigue",89.716,19289,215
"sonoma",89.715,33643,375
"37%",89.714,8792,98
"cashew",89.714,5652,63
"whopping",89.714,2512,28
"proven",89.714,2512,28
"knife",89.714,1884,21
"counterpart",89.714,1884,21
"sophie",89.714,1256,14
"carbon",89.714,1256,14
"lithe",89.712,34001,379
"rising",89.712,5921,66
"enlivens",89.712,4665,52
"warm-vintage",89.71,2781,31
"ultra",89.71,2781,31
"kaffir",89.71,2781,31
"mere",89.709,7087,79
"liberally",89.709,4934,55
"lifted",89.707,82351,918
"factor",89.707,8881,99
"uplifted",89.707,3678,41
"sight",89.706,6100,68
"tongue-tickling",89.706,1525,17
"-",89.706,1525,17
"packs",89.705,27988,312
"granite",89.705,26194,292
"maximum",89.704,7266,81
"family-owned",89.704,4844,54
"newer",89.704,2422,27
"tautness",89.703,3319,37
"consists",89.703,3319,37
"beyond",89.702,46286,516
"hazelnuts",89.701,7804,87
"78%",89.7,3588,40
"greenish",89.7,2691,30
"resonate",89.7,1794,20
"washed-rind",89.7,897,10
"valle",89.7,897,10
"underline",89.7,897,10
"steeply",89.7,897,10
"schloss",89.7,897,10
"savigny-lès-beaune",89.7,897,10
"luigi",89.7,897,10
